term,estimate,std.error,statistic,p.value,model
event_time::-5,-3.5,1.0000000000000002e-6,-3499999.9999999995,1.8189136353358972e-7,Violent
event_time::-4,-0.5,1.0000000000000002e-6,-499999.99999999994,1.273239544733465e-6,Violent
event_time::-3,0,1e-6,0,1,Violent
event_time::-2,4.125,1e-6,4125000,1.5433206602850153e-7,Violent
IncomeReal,-0.001708984375,1e-6,-1708.984375,3.725134700015748e-4,Violent
event_time::-5,-32,1e-6,-32000000,1.989436788648691e-8,Property
event_time::-4,28,1e-6,28000000,2.2736420441699324e-8,Property
event_time::-3,12,1e-6,12000000,5.3051647697298315e-8,Property
event_time::-2,54,1e-6,54000000,1.1789255043844095e-8,Property
IncomeReal,-0.025390625,1.0000000000000002e-6,-25390.624999999996,2.50730248679746e-5,Property
event_time::-5,-34,1e-6,-34000000,1.872411095198768e-8,Total
event_time::-4,8,1.0000000000000002e-6,7999999.999999999,7.957747154594726e-8,Total
event_time::-3,28,1e-6,28000000,2.2736420441699324e-8,Total
event_time::-2,54,1.0000000000000002e-6,53999999.99999999,1.1789255043844097e-8,Total
IncomeReal,-0.021484375,1e-6,-21484.375,2.9631756656074007e-5,Total
