term,estimate,std.error,statistic,p.value,model
treated,-111.3041876278915,340.47080318995035,-0.32691257689369135,0.7747770874279826,Violent
unemp_rate,-5.416894862149766,18.607752045599366,-0.29110957889353606,0.7983816539357691,Violent
Black,-11022.773201703429,1973.5345116745252,-5.585295385764859,0.030592493118760097,Violent
HSGrad,-10821.289308583446,3953.493305880431,-2.7371462327981804,0.11157691811569699,Violent
IncomeReal,0.024118837744507786,0.009257183889883287,2.6054184546194503,0.12112444036225739,Violent
age,-40.98788392374961,43.49515239990451,-0.9423552203449594,0.44548469446101324,Violent
treated,-121.05750362171995,540.3238541479029,-0.2240461950594964,0.8435268563383413,Property
unemp_rate,219.85097761095665,88.46493452879443,2.4851765140842037,0.13087131817872033,Property
Black,-13012.297921373935,8409.704413516645,-1.5472955149838192,0.26186271745634615,Property
HSGrad,-19518.366465242434,6425.351422774667,-3.0377118979141837,0.09343007698861987,Property
IncomeReal,0.13959097991235703,0.10003091839332005,1.3954783396418236,0.2976238711985906,Property
age,49.87323070848686,93.8894639651108,0.5311909196437599,0.6483770307450483,Property
treated,-232.36169124970561,877.3615922629726,-0.2648414214832185,0.815928755303229,Total
unemp_rate,214.43408274880025,77.38162598568358,2.7711240235307644,0.10928690168420228,Total
Black,-24035.071123069163,10173.653252849728,-2.3624818465615323,0.14198268451044044,Total
HSGrad,-30339.655773810522,10359.821920418895,-2.928588542049355,0.09949799200725545,Total
IncomeReal,0.16370981765681733,0.10924116382281886,1.4986092414974874,0.27271082556294984,Total
age,8.88534678481868,131.3270385592138,0.06765816759670844,0.952213107283272,Total
