term,estimate,std.error,statistic,p.value,model
treated,0.004162203735194214,0.5282985995584454,0.007878506092336805,0.9937849336366817,Violent
unemp_rate,0.11404645822816513,0.17977006330906553,0.6344018360392597,0.5323607449483438,Violent
Black,19.500645431431067,19.39070451219463,1.0056697743584972,0.32550822134066604,Violent
HSGrad,-3.8390376753414888,11.803028073183969,-0.32525870916664484,0.7480583385913175,Violent
IncomeReal,1.0648262173320447e-4,1.483508973931053e-4,0.7177753798889612,0.48044894332832633,Violent
age,-0.30627077804735886,0.2170638495753561,-1.4109709131507575,0.17223847609211212,Violent
treated,0.18446937629891683,0.8823576050052657,0.20906418809391455,0.8363218267039125,Property
unemp_rate,0.2235488451858012,0.3002496744182337,0.7445431726743795,0.46442746313200567,Property
Black,36.67340565287927,32.38610817262262,1.1323807558909127,0.26966594934816673,Property
HSGrad,-0.4250509260247535,19.71326744225521,-0.02156166791070164,0.9829919796904042,Property
IncomeReal,2.0539565242622316e-4,2.477737829204317e-4,0.8289644287837445,0.4160283096715034,Property
age,-0.39095229857189384,0.3625372821442542,-1.0783781912292631,0.2925473152002903,Property
treated,0.18372398047929542,0.8983967714406534,0.20450204889391893,0.839841295093308,Total
unemp_rate,0.22456514275568723,0.30570750067013786,0.734575181385542,0.47035624022226596,Total
Black,36.88564091715528,32.974810730665475,1.1186005347667656,0.2753763750076067,Total
HSGrad,-1.08402699555751,20.071607842675686,-0.054007980031010885,0.9574162548644027,Total
IncomeReal,2.0904565749353056e-4,2.5227772204901517e-4,0.8286330469280001,0.41621187059186004,Total
age,-0.4037083899373876,0.36912734922630774,-1.093683225541434,0.28592493396426594,Total
