term,estimate,std.error,statistic,p.value,model
treated,0.8752786523279787,9.3891333523123,0.09322251793478047,0.934224475035466,Violent
unemp_rate,0.7970527745878877,2.2640829857817493,0.3520422085203202,0.758440424774657,Violent
Black,85.4314605839269,232.3696911090855,0.3676532002782638,0.7483932803408316,Violent
HSGrad,-409.7442966416877,294.53440641212103,-1.3911593610844963,0.29872781253267877,Violent
IncomeReal,0.0016779356026843043,0.002667886632172982,0.6289381199521334,0.5936464058491222,Violent
age,-6.852096733829596,2.7131434134805,-2.5255195504168078,0.12748258678058008,Violent
treated,18.103418507114668,30.5862592019557,0.591880765397984,0.6139260791278075,Property
unemp_rate,18.91959740906701,13.362882023261273,1.4158321068862953,0.2924889298110665,Property
Black,2065.8542317136967,1450.7687061019103,1.4239721487131245,0.29046615456453023,Property
HSGrad,-784.0252483750897,1510.6927723125548,-0.5189839143632832,0.6554885174860017,Property
IncomeReal,0.012371111270113729,0.01440726748598218,0.8586715893315948,0.4810033500996752,Property
age,-34.877724424766456,14.922465174285886,-2.337262913159087,0.1444276774981867,Property
treated,18.978697159443506,39.93262921448771,0.4752679082938511,0.681442630033727,Total
unemp_rate,19.716650183655148,15.626630194664564,1.2617339719466227,0.33426515628198206,Total
Black,2151.2856922975984,1639.723976655934,1.311980383847864,0.3198880021966697,Total
HSGrad,-1193.7695450167985,1805.147367965366,-0.6613141764499432,0.5764057152049527,Total
IncomeReal,0.014049046872798282,0.017009237905883937,0.8259656870304785,0.4956699302100217,Total
age,-41.72982115859605,17.495497508043286,-2.3851748793889063,0.13983132191991474,Total
