state,state_abb,zip_code,year,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_total,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,actual_index_violent,actual_index_property,actual_index_total,population,population_group,juvenile_age,violent_rate_100k,property_rate_100k,total_rate_100k
illinois,IL,60506,1986,9,0,172,1939,1541,3387,246,488,5217,5705,86040,"city 50,000 thru 99,999",17,567.1780567178057,6063.458856345886,6630.63691306369
illinois,IL,60506,1987,1,0,174,2069,1617,3627,266,500,5552,6052,85600,"city 50,000 thru 99,999",17,584.1121495327103,6485.981308411215,7070.093457943925
illinois,IL,60506,1989,9,0,193,2681,1429,4438,342,629,6263,6892,91479,"city 50,000 thru 99,999",17,687.5895014156255,6846.380043507253,7533.969544922879
illinois,IL,60506,1990,11,0,245,2881,1603,3944,302,791,5887,6678,99581,"city 50,000 thru 99,999",17,794.3282353059319,5911.770317630873,6706.098552936805
illinois,IL,60506,1991,13,0,301,3224,1687,4080,406,828,6234,7062,99990,"city 50,000 thru 99,999",17,828.0828082808282,6234.623462346234,7062.706270627063
illinois,IL,60540,1990,0,0,9,718,382,1871,63,64,2328,2392,85351,"city 50,000 thru 99,999",17,74.98447587023,2727.560309779616,2802.5447856498463
illinois,IL,60566,1991,1,0,16,753,323,2057,117,72,2506,2578,86190,"city 50,000 thru 99,999",17,83.53637312913331,2907.529875855668,2991.066248984801
illinois,IL,60605,1973,864,1619,24181,44805,44753,93654,37159,38949,175566,214515,3334500,"city 1,000,000+",17,1168.0611785874944,5265.137201979307,6433.1983805668015
illinois,IL,60605,1974,970,1920,26172,45310,50722,114792,35442,42280,200956,243236,3296936,"city 1,000,000+",17,1282.4028127934544,6095.235091005709,7377.637903799164
illinois,IL,60605,1975,818,1657,22171,39260,47299,117909,33484,37160,198692,235852,3150000,"city 1,000,000+",17,1179.6825396825398,6307.68253968254,7487.3650793650795
illinois,IL,60605,1976,814,1179,17577,34786,38661,112298,32469,30640,183428,214068,3134499,"city 1,000,000+",17,977.5086863961354,5851.908072071486,6829.416758467622
illinois,IL,60605,1977,823,1227,16512,35363,37573,105406,31987,28873,174966,203839,3086806,"city 1,000,000+",17,935.368144288951,5668.189060148257,6603.5572044372075
illinois,IL,60605,1978,787,1341,15233,38163,34165,99036,29928,27686,163129,190815,3086699,"city 1,000,000+",17,896.9452479817437,5284.90144325702,6181.846691238763
illinois,IL,60605,1979,856,1655,14464,42857,33396,94087,31438,27807,160776,188583,3060801,"city 1,000,000+",17,908.4876801856769,5252.742664420196,6161.230344605872
illinois,IL,60605,1980,863,1329,16261,43967,34288,102873,30786,28658,169863,198521,2986419,"city 1,000,000+",17,959.610824870857,5687.848891933784,6647.45971680464
