state,state_abb,city_id,year,population,violent_rate_100k,property_rate_100k,total_rate_100k,treat_start,event_time,unemp_rate,age,Male,Black,Hispanic,HSGrad,CollegeGrad,IncomeReal
illinois,IL,60506,1986,86040,567.1780567178057,6063.458856345886,6630.63691306369,1977,9,8.308333333333334,32.354343,0.4804053,0.13574728,0.092240989,0.69673437,0.16666667,33083.133
illinois,IL,60506,1987,85600,584.1121495327103,6485.981308411215,7070.093457943925,1977,10,7.466666666666666,33.477879,0.47772118,0.13987906,0.086457171,0.71526909,0.17209011,34386.813
illinois,IL,60506,1989,91479,687.5895014156255,6846.380043507253,7533.969544922879,1977,12,6.066666666666666,33.679207,0.48349208,0.1236508,0.10837439,0.72367072,0.17655513,35896.109
illinois,IL,60506,1990,99581,794.3282353059319,5911.770317630873,6706.098552936805,1977,13,6.3,33.804161,0.48597842,0.1394453,0.11753818,0.72794706,0.18504411,36479.527
illinois,IL,60506,1991,99990,828.0828082808282,6234.623462346234,7062.706270627063,1977,14,7.283333333333334,33.907383,0.47762829,0.140801,0.12048949,0.74927956,0.20502265,36604.082
illinois,IL,60540,1990,85351,74.98447587023,2727.560309779616,2802.5447856498463,1977,13,6.3,33.804161,0.48597842,0.1394453,0.11753818,0.72794706,0.18504411,36479.527
illinois,IL,60566,1991,86190,83.53637312913331,2907.529875855668,2991.066248984801,1977,14,7.283333333333334,33.907383,0.47762829,0.140801,0.12048949,0.74927956,0.20502265,36604.082
illinois,IL,60605,1973,3334500,1168.0611785874944,5265.137201979307,6433.1983805668015,1977,-4,NA,31.652832,0.48441926,0.12096317,0.037127953,0.57067072,0.1127321,32323.629
illinois,IL,60605,1974,3296936,1282.4028127934544,6095.235091005709,7377.637903799164,1977,-3,NA,33.104107,0.49559373,0.12442121,0.049683388,0.57940495,0.11070324,31121.996
illinois,IL,60605,1975,3150000,1179.6825396825398,6307.68253968254,7487.3650793650795,1977,-2,NA,32.555889,0.47321829,0.12948237,0.043946054,0.58557314,0.11897233,31025.738
illinois,IL,60605,1976,3134499,977.5086863961354,5851.908072071486,6829.416758467622,1977,-1,6.55,31.502554,0.47671872,0.13355714,0.065094896,0.59441644,0.1269872,31611.684
illinois,IL,60605,1977,3086806,935.368144288951,5668.189060148257,6603.5572044372075,1977,0,6.191666666666666,31.401497,0.47344941,0.14404951,0.069252081,0.60386384,0.13733742,32735.68
illinois,IL,60605,1978,3086699,896.9452479817437,5284.90144325702,6181.846691238763,1977,1,5.983333333333333,32.088634,0.47491011,0.14006566,0.075798504,0.60111088,0.1343345,32552.23
illinois,IL,60605,1979,3060801,908.4876801856769,5252.742664420196,6161.230344605872,1977,2,5.583333333333333,32.594463,0.47464439,0.14363018,0.077404223,0.61903799,0.1311641,31198.059
illinois,IL,60605,1980,2986419,959.610824870857,5687.848891933784,6647.45971680464,1977,3,8.216666666666667,32.723732,0.48890269,0.14123856,0.076165155,0.64683104,0.13898513,31415.785
illinois,IL,60605,1981,3012703,850.03400600723,5071.060771672482,5921.094777679711,1977,4,8.625,32.724701,0.47909218,0.14332348,0.084634602,0.65979171,0.14519094,30590.162
illinois,IL,60605,1982,3010862,876.9581601547995,5219.036940251663,6095.9951004064615,1977,5,11.4,33.106071,0.47929284,0.13553773,0.078605495,0.68229502,0.15200171,31661.611
illinois,IL,60605,1983,3021203,1316.5616477939418,6744.929089505075,8061.4907372990165,1977,6,11.708333333333334,33.344654,0.48674408,0.12493502,0.070893571,0.70697045,0.17076471,33084.684
illinois,IL,60605,1985,2998841,1948.9529454879403,7364.178360906763,9313.131306394704,1977,8,9.058333333333334,32.738377,0.47737452,0.12679537,0.10214219,0.6901176,0.16360636,31936.873
illinois,IL,60605,1986,3003105,2170.786569234176,7630.8021198060005,9801.588689040176,1977,9,8.308333333333334,32.354343,0.4804053,0.13574728,0.092240989,0.69673437,0.16666667,33083.133
illinois,IL,60605,1987,3018338,2142.702374618085,7041.027214314632,9183.729588932716,1977,10,7.466666666666666,33.477879,0.47772118,0.13987906,0.086457171,0.71526909,0.17209011,34386.813
illinois,IL,60605,1988,2994100,2191.7437627333757,7633.245382585752,9824.989145319129,1977,11,6.741666666666667,33.437588,0.4818196,0.13710058,0.096250787,0.72515464,0.17113402,34921.621
illinois,IL,60605,1989,2988260,2340.6597819466847,7703.111509707991,10043.771291654675,1977,12,6.066666666666666,33.679207,0.48349208,0.1236508,0.10837439,0.72367072,0.17655513,35896.109
illinois,IL,60605,1990,2783726,2842.269677403595,8315.653192878897,11157.922870282491,1977,13,6.3,33.804161,0.48597842,0.1394453,0.11753818,0.72794706,0.18504411,36479.527
illinois,IL,60605,1991,2811478,3092.501524109383,8301.220923656525,11393.722447765907,1977,14,7.283333333333334,33.907383,0.47762829,0.140801,0.12048949,0.74927956,0.20502265,36604.082
illinois,IL,61101,1982,140350,868.5429283933024,8049.875311720699,8918.418240114,1977,5,11.4,33.106071,0.47929284,0.13553773,0.078605495,0.68229502,0.15200171,31661.611
illinois,IL,61101,1983,140815,733.5866207435288,7489.258956787275,8222.845577530803,1977,6,11.708333333333334,33.344654,0.48674408,0.12493502,0.070893571,0.70697045,0.17076471,33084.684
illinois,IL,61101,1984,139043,756.6004761117065,7804.779816315816,8561.380292427522,1977,7,9.133333333333336,33.140694,0.48401213,0.13093235,0.10059172,0.70546579,0.17216198,32231.613
illinois,IL,61101,1985,136822,848.547748169154,8458.435046995366,9306.98279516452,1977,8,9.058333333333334,32.738377,0.47737452,0.12679537,0.10214219,0.6901176,0.16360636,31936.873
illinois,IL,61101,1986,137017,830.5538728770881,7934.051978951517,8764.6058518286045,1977,9,8.308333333333334,32.354343,0.4804053,0.13574728,0.092240989,0.69673437,0.16666667,33083.133
illinois,IL,61101,1987,136157,693.3172734416886,8313.197264922112,9006.514538363801,1977,10,7.466666666666666,33.477879,0.47772118,0.13987906,0.086457171,0.71526909,0.17209011,34386.813
illinois,IL,61104,1973,148200,358.2995951417004,5063.427800269906,5421.727395411606,1977,-4,NA,31.652832,0.48441926,0.12096317,0.037127953,0.57067072,0.1127321,32323.629
illinois,IL,61104,1974,149424,439.01916693436124,6116.152693007817,6555.171859942178,1977,-3,NA,33.104107,0.49559373,0.12442121,0.049683388,0.57940495,0.11070324,31121.996
illinois,IL,61104,1975,149424,621.7207409786915,6734.527251311703,7356.247992290395,1977,-2,NA,32.555889,0.47321829,0.12948237,0.043946054,0.58557314,0.11897233,31025.738
illinois,IL,61104,1976,150910,522.1655291233186,6400.503611424027,6922.669140547347,1977,-1,6.55,31.502554,0.47671872,0.13355714,0.065094896,0.59441644,0.1269872,31611.684
illinois,IL,61104,1977,146426,504.00885088713756,5548.1949926925545,6052.203843579692,1977,0,6.191666666666666,31.401497,0.47344941,0.14404951,0.069252081,0.60386384,0.13733742,32735.68
illinois,IL,61104,1978,141938,612.9436796347701,6209.753554368809,6822.697234003579,1977,1,5.983333333333333,32.088634,0.47491011,0.14006566,0.075798504,0.60111088,0.1343345,32552.23
illinois,IL,61104,1979,140571,791.770706618008,7456.018666723577,8247.789373341586,1977,2,5.583333333333333,32.594463,0.47464439,0.14363018,0.077404223,0.61903799,0.1311641,31198.059
illinois,IL,61104,1980,139211,934.5525856433759,8280.954809605562,9215.507395248938,1977,3,8.216666666666667,32.723732,0.48890269,0.14123856,0.076165155,0.64683104,0.13898513,31415.785
illinois,IL,61104,1981,140436,768.3215130023641,8452.248711156682,9220.570224159048,1977,4,8.625,32.724701,0.47909218,0.14332348,0.084634602,0.65979171,0.14519094,30590.162
illinois,IL,61602,1988,108841,1147.545502154519,8394.814454111962,9542.35995626648,1977,11,6.741666666666667,33.437588,0.4818196,0.13710058,0.096250787,0.72515464,0.17113402,34921.621
illinois,IL,61602,1989,109955,1134.100313764722,7573.0980855804655,8707.198399345187,1977,12,6.066666666666666,33.679207,0.48349208,0.1236508,0.10837439,0.72367072,0.17655513,35896.109
illinois,IL,61602,1990,113504,1204.3628418381732,7626.162954609529,8830.525796447702,1977,13,6.3,33.804161,0.48597842,0.1394453,0.11753818,0.72794706,0.18504411,36479.527
illinois,IL,61602,1991,114619,1436.0620839476876,8097.261361554367,9533.323445502056,1977,14,7.283333333333334,33.907383,0.47762829,0.140801,0.12048949,0.74927956,0.20502265,36604.082
illinois,IL,62521,1973,92000,325,4120.652173913043,4445.652173913044,1977,-4,NA,31.652832,0.48441926,0.12096317,0.037127953,0.57067072,0.1127321,32323.629
illinois,IL,62521,1974,91018,486.71691313806065,5325.320266320948,5812.037179459008,1977,-3,NA,33.104107,0.49559373,0.12442121,0.049683388,0.57940495,0.11070324,31121.996
illinois,IL,62521,1975,91018,329.6051330506054,5244.017666835131,5573.622799885738,1977,-2,NA,32.555889,0.47321829,0.12948237,0.043946054,0.58557314,0.11897233,31025.738
illinois,IL,62521,1976,93235,311.04199066874025,5051.750951895748,5362.792942564488,1977,-1,6.55,31.502554,0.47671872,0.13355714,0.065094896,0.59441644,0.1269872,31611.684
illinois,IL,62521,1977,85883,328.3536904858936,5259.480921719082,5587.834612204977,1977,0,6.191666666666666,31.401497,0.47344941,0.14404951,0.069252081,0.60386384,0.13733742,32735.68
illinois,IL,62521,1978,89225,319.417203698515,5436.817035584198,5756.234239282712,1977,1,5.983333333333333,32.088634,0.47491011,0.14006566,0.075798504,0.60111088,0.1343345,32552.23
illinois,IL,62521,1979,89629,386.03576967276217,6416.4500329134535,6802.485802586217,1977,2,5.583333333333333,32.594463,0.47464439,0.14363018,0.077404223,0.61903799,0.1311641,31198.059
illinois,IL,62521,1980,93513,449.13541432741977,6717.782554297263,7166.9179686246835,1977,3,8.216666666666667,32.723732,0.48890269,0.14123856,0.076165155,0.64683104,0.13898513,31415.785
