state,state_abb,city_id,year,population,violent_rate_100k,property_rate_100k,total_rate_100k,party,Gov_Rep,treat_start,event_time,event_-5,event_-4,event_-3,event_-2,event_-1,event_+0,event_+1,event_+2,event_+3,event_+4,event_+5,unemp_rate
illinois,IL,60506,1986,86040,567.1780567178057,6063.458856345886,6630.63691306369,Republican,1,1977,9,0,0,0,0,0,0,0,0,0,0,0,8.308333333333334
illinois,IL,60506,1987,85600,584.1121495327103,6485.981308411215,7070.093457943925,Republican,1,1977,10,0,0,0,0,0,0,0,0,0,0,0,7.466666666666666
illinois,IL,60506,1989,91479,687.5895014156255,6846.380043507253,7533.969544922879,Republican,1,1977,12,0,0,0,0,0,0,0,0,0,0,0,6.066666666666666
illinois,IL,60506,1990,99581,794.3282353059319,5911.770317630873,6706.098552936805,Republican,1,1977,13,0,0,0,0,0,0,0,0,0,0,0,6.3
illinois,IL,60506,1991,99990,828.0828082808282,6234.623462346234,7062.706270627063,Republican,1,1977,14,0,0,0,0,0,0,0,0,0,0,0,7.283333333333334
illinois,IL,60540,1990,85351,74.98447587023,2727.560309779616,2802.5447856498463,Republican,1,1977,13,0,0,0,0,0,0,0,0,0,0,0,6.3
illinois,IL,60566,1991,86190,83.53637312913331,2907.529875855668,2991.066248984801,Republican,1,1977,14,0,0,0,0,0,0,0,0,0,0,0,7.283333333333334
illinois,IL,60605,1973,3334500,1168.0611785874944,5265.137201979307,6433.1983805668015,Democrat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,IL,60605,1974,3296936,1282.4028127934544,6095.235091005709,7377.637903799164,Democrat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,IL,60605,1975,3150000,1179.6825396825398,6307.68253968254,7487.36507936508,Democrat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,IL,60605,1976,3134499,977.5086863961354,5851.908072071486,6829.416758467622,Democrat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55
illinois,IL,60605,1977,3086806,935.368144288951,5668.189060148257,6603.5572044372075,Republican,1,1977,0,0,0,0,0,0,1,0,0,0,0,0,6.191666666666666
illinois,IL,60605,1978,3086699,896.9452479817437,5284.90144325702,6181.846691238763,Republican,1,1977,1,0,0,0,0,0,0,1,0,0,0,0,5.983333333333333
illinois,IL,60605,1979,3060801,908.4876801856768,5252.742664420196,6161.230344605872,Republican,1,1977,2,0,0,0,0,0,0,0,1,0,0,0,5.583333333333333
illinois,IL,60605,1980,2986419,959.610824870857,5687.848891933784,6647.45971680464,Republican,1,1977,3,0,0,0,0,0,0,0,0,1,0,0,8.216666666666667
illinois,IL,60605,1981,3012703,850.03400600723,5071.060771672482,5921.094777679711,Republican,1,1977,4,0,0,0,0,0,0,0,0,0,1,0,8.625
illinois,IL,60605,1982,3010862,876.9581601547995,5219.036940251663,6095.9951004064615,Republican,1,1977,5,0,0,0,0,0,0,0,0,0,0,1,11.4
illinois,IL,60605,1983,3021203,1316.5616477939418,6744.929089505075,8061.490737299016,Republican,1,1977,6,0,0,0,0,0,0,0,0,0,0,0,11.708333333333334
illinois,IL,60605,1985,2998841,1948.9529454879405,7364.178360906763,9313.131306394704,Republican,1,1977,8,0,0,0,0,0,0,0,0,0,0,0,9.058333333333334
illinois,IL,60605,1986,3003105,2170.786569234176,7630.802119806,9801.588689040176,Republican,1,1977,9,0,0,0,0,0,0,0,0,0,0,0,8.308333333333334
illinois,IL,60605,1987,3018338,2142.702374618085,7041.027214314632,9183.729588932716,Republican,1,1977,10,0,0,0,0,0,0,0,0,0,0,0,7.466666666666666
illinois,IL,60605,1988,2994100,2191.7437627333757,7633.245382585752,9824.989145319129,Republican,1,1977,11,0,0,0,0,0,0,0,0,0,0,0,6.741666666666667
illinois,IL,60605,1989,2988260,2340.6597819466847,7703.111509707991,10043.771291654675,Republican,1,1977,12,0,0,0,0,0,0,0,0,0,0,0,6.066666666666666
illinois,IL,60605,1990,2783726,2842.269677403595,8315.653192878897,11157.922870282491,Republican,1,1977,13,0,0,0,0,0,0,0,0,0,0,0,6.3
