statefip,year,age,Male,White,Black,Asian,Hispanic,HSGrad,CollegeGrad,Married,inctot,IncomeReal,CPI,EmployerIns,Medicaid,Medicare
illinois,1970,30.741879,0.47687602,0.88622755,0.10982291,0.0,,0.54893923,0.090390444,0.65458226,4587.735068639686,30584.9,15.0,,,
illinois,1971,31.034901,0.4753713,0.87277228,0.12165841,0.0,0.037750587,0.53192586,0.093546174,0.63719946,4756.781362622276,30492.188,15.6,,,
illinois,1972,31.55884,0.47561622,0.87145507,0.12271402,0.0,0.027496181,0.55154455,0.10506465,0.63882703,5197.44378591954,32082.984,16.200001,,,
illinois,1973,31.652832,0.48441926,0.87110484,0.12096317,0.0,0.037127953,0.57067072,0.1127321,0.631733,5559.664456233421,32323.629,17.200001,,,
illinois,1974,33.104107,0.49559373,0.86796117,0.12442121,0.0,0.049683388,0.57940495,0.11070324,0.61442441,5944.301391035548,31121.996,19.1,,,
illinois,1975,32.555889,0.47321829,0.86196548,0.12948237,0.0,0.043946054,0.58557314,0.11897233,0.61472744,6453.353359683794,31025.738,20.799999,,,
illinois,1976,31.502554,0.47671872,0.8528682,0.13355714,0.0,0.065094896,0.59441644,0.1269872,0.6082164,6954.570569988367,31611.684,22.0,,,
illinois,1977,31.401497,0.47344941,0.84458196,0.14404951,0.0,0.069252081,0.60386384,0.13733742,0.59964657,7660.149005355776,32735.68,23.4,,,
illinois,1978,32.088634,0.47491011,0.84727216,0.14006566,0.0,0.075798504,0.60111088,0.1343345,0.59546316,8203.162312281424,32552.23,25.200001,,,
illinois,1979,32.594463,0.47464439,0.84106368,0.14363018,0.0,0.077404223,0.61903799,0.1311641,0.58788252,8735.456548100243,31198.059,28.0,,,
illinois,1980,32.723732,0.48890269,0.84541363,0.14123856,0.0,0.076165155,0.64683104,0.13898513,0.57652336,9990.219686162623,31415.785,31.799999,0.331833,0.092193075,0.13144487
illinois,1981,32.724701,0.47909218,0.84377426,0.14332348,0.0,0.084634602,0.65979171,0.14519094,0.58076376,10737.14662037982,30590.162,35.099998,0.33623505,0.08642935,0.14049418
illinois,1982,33.106071,0.47929284,0.84334588,0.13553773,0.0,0.078605495,0.68229502,0.15200171,0.58531362,11809.78077499465,31661.611,37.299999,0.32165658,0.085447699,0.14193963
