State/Area,Year,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Illinois,1976,8177500.0,5147815.666666667,62.949999999999996,4811745.583333333,58.84166666666667,336070.0833333333,6.55
Illinois,1977,8280750.0,5287937.916666667,63.86666666666667,4959808.833333333,59.9,328129.0833333333,6.191666666666666
Illinois,1978,8365416.666666667,5422903.166666667,64.825,5098505.5,60.94166666666666,324397.6666666667,5.983333333333333
Illinois,1979,8420333.333333334,5462836.416666667,64.875,5158606.75,61.275,304229.6666666667,5.583333333333333
Illinois,1980,8473750.0,5540305.166666667,65.38333333333334,5086012.916666667,60.0,454292.25,8.216666666666667
Illinois,1981,8528750.0,5596333.416666667,65.60833333333333,5114122.25,59.96666666666667,482211.1666666667,8.625
Illinois,1982,8557500.0,5615362.666666667,65.61666666666666,4974934.0,58.14166666666667,640428.6666666666,11.4
Illinois,1983,8578750.0,5600720.416666667,65.28333333333333,4944695.083333333,57.63333333333333,656025.3333333334,11.708333333333334
Illinois,1984,8613583.333333334,5611248.5,65.13333333333333,5099315.833333333,59.199999999999996,511932.6666666667,9.133333333333335
Illinois,1985,8635916.666666666,5658902.166666667,65.52499999999999,5146408.833333333,59.59166666666667,512493.3333333333,9.058333333333334
Illinois,1986,8681500.0,5694054.333333333,65.60833333333333,5219948.75,60.11666666666667,474105.5833333333,8.308333333333334
Illinois,1987,8740916.666666666,5765749.416666667,65.95,5336023.083333333,61.050000000000004,429726.3333333333,7.466666666666666
Illinois,1988,8790250.0,5838560.916666667,66.41666666666667,5445564.25,61.949999999999996,392996.6666666667,6.741666666666667
Illinois,1989,8832416.666666666,5993293.5,67.85833333333333,5630419.75,63.73333333333333,362873.75,6.066666666666666
Illinois,1990,8691494.666666666,5929803.25,68.21666666666667,5556300.666666667,63.94166666666666,373502.5833333333,6.3
Illinois,1991,8768688.25,5932297.916666667,67.65833333333333,5499779.166666667,62.71666666666667,432518.75,7.283333333333334
Illinois,1992,8844258.583333334,6026608.0,68.14999999999999,5551803.0,62.76666666666667,474805.0,7.866666666666667
Iowa,1976,2081583.3333333333,1338952.9166666667,64.325,1284100.0,61.699999999999996,54852.916666666664,4.083333333333333
Iowa,1977,2109250.0,1386063.8333333333,65.7,1330383.0,63.074999999999996,55680.833333333336,4.008333333333334
Iowa,1978,2129333.3333333335,1415365.6666666667,66.47500000000001,1360919.75,63.90833333333333,54445.916666666664,3.841666666666667
Iowa,1979,2142083.3333333335,1423085.8333333333,66.425,1363558.6666666667,63.65833333333333,59527.166666666664,4.175
Iowa,1980,2151250.0,1428561.75,66.40833333333333,1343884.6666666667,62.475,84677.08333333333,5.933333333333334
Iowa,1981,2160083.3333333335,1428352.0,66.125,1335057.3333333333,61.80833333333334,93294.66666666667,6.516666666666667
Iowa,1982,2158583.3333333335,1415603.8333333333,65.58333333333333,1296712.0833333333,60.074999999999996,118891.75,8.4
Iowa,1983,2159250.0,1417391.5833333333,65.63333333333334,1300917.4166666667,60.25833333333333,116474.16666666667,8.233333333333333
Iowa,1984,2160250.0,1421501.5,65.8,1321688.0,61.18333333333334,99813.5,7.0249999999999995
Iowa,1985,2149083.3333333335,1423910.25,66.24166666666666,1318690.6666666667,61.35833333333333,105219.58333333333,7.375
Iowa,1986,2139500.0,1443101.3333333333,67.45833333333333,1345377.4166666667,62.89166666666667,97723.91666666667,6.766666666666667
Iowa,1987,2138333.3333333335,1461481.4166666667,68.35000000000001,1379466.3333333333,64.51666666666667,82015.08333333333,5.616666666666667
Iowa,1988,2148583.3333333335,1489261.75,69.31666666666666,1420026.3333333333,66.10000000000001,69235.41666666667,4.641666666666667
Iowa,1989,2154000.0,1502277.8333333333,69.75,1437553.9166666667,66.74166666666666,64723.916666666664,4.3
Iowa,1990,2088455.1666666667,1453632.6666666667,69.61666666666666,1389010.5833333333,66.49166666666666,64622.083333333336,4.441666666666666
Iowa,1991,2104403.1666666665,1471258.4166666667,69.90833333333333,1402228.3333333333,66.64166666666667,69030.08333333333,4.691666666666666
Iowa,1992,2124507.1666666665,1525113.4166666667,71.78333333333333,1456746.5,68.55833333333334,68366.91666666667,4.483333333333333
Michigan,1976,6453166.666666667,3986740.0,61.76666666666667,3612371.25,55.96666666666667,374368.75,9.4
Michigan,1977,6543083.333333333,4107483.0833333335,62.775,3769485.5833333335,57.61666666666667,337997.5,8.225
Michigan,1978,6634500.0,4220907.0,63.625,3924036.9166666665,59.13333333333333,296870.0833333333,7.033333333333334
Michigan,1979,6718333.333333333,4322513.833333333,64.33333333333333,3982188.25,59.275,340325.5833333333,7.866666666666667
Michigan,1980,6769333.333333333,4330753.166666667,63.96666666666667,3798324.4166666665,56.1,532428.75,12.299999999999999
Michigan,1981,6781333.333333333,4296480.333333333,63.35,3765476.5833333335,55.51666666666667,531003.75,12.375
Michigan,1982,6754166.666666667,4273907.666666667,63.28333333333333,3612740.0,53.49166666666667,661167.6666666666,15.458333333333334
Michigan,1983,6718250.0,4267284.833333333,63.525,3649142.3333333335,54.324999999999996,618142.5,14.483333333333334
Michigan,1984,6742500.0,4313332.333333333,63.98333333333333,3828720.1666666665,56.791666666666664,484612.1666666667,11.233333333333334
Michigan,1985,6793833.333333333,4358077.166666667,64.14999999999999,3921719.8333333335,57.725,436357.3333333333,10.0
Michigan,1986,6857416.666666667,4402233.416666667,64.19166666666666,4010014.5,58.475,392218.9166666667,8.908333333333333
Michigan,1987,6931333.333333333,4506903.166666667,65.01666666666667,4128879.25,59.583333333333336,378023.9166666667,8.391666666666667
Michigan,1988,6967833.333333333,4548157.416666667,65.27499999999999,4204671.25,60.35,343486.1666666667,7.566666666666666
Michigan,1989,6984833.333333333,4609220.416666667,65.97500000000001,4277973.083333333,61.24166666666667,331247.3333333333,7.183333333333334
Michigan,1990,7014564.166666667,4615379.166666667,65.8,4260843.583333333,60.74166666666667,354535.5833333333,7.7
Michigan,1991,7073529.0,4597712.416666667,65.0,4170665.9166666665,58.96666666666667,427046.5,9.283333333333333
Michigan,1992,7128842.833333333,4670404.666666667,65.52499999999999,4247082.833333333,59.583333333333336,423321.8333333333,9.066666666666666
