"state","state_abb","zip_code","year","actual_murder","actual_rape_total","actual_robbery_total","actual_assault_total","actual_burg_total","actual_theft_total","actual_mtr_veh_theft_total","actual_index_violent","actual_index_property","actual_index_total","population","population_group","juvenile_age"
"illinois","IL",60506,1986,9,0,172,1939,1541,3387,246,488,5217,5705,86040,"city 50,000 thru 99,999",17
"illinois","IL",60506,1987,1,0,174,2069,1617,3627,266,500,5552,6052,85600,"city 50,000 thru 99,999",17
"illinois","IL",60506,1989,9,0,193,2681,1429,4438,342,629,6263,6892,91479,"city 50,000 thru 99,999",17
"illinois","IL",60506,1990,11,0,245,2881,1603,3944,302,791,5887,6678,99581,"city 50,000 thru 99,999",17
"illinois","IL",60506,1991,13,0,301,3224,1687,4080,406,828,6234,7062,99990,"city 50,000 thru 99,999",17
"illinois","IL",60540,1990,0,0,9,718,382,1871,63,64,2328,2392,85351,"city 50,000 thru 99,999",17
"illinois","IL",60566,1991,1,0,16,753,323,2057,117,72,2506,2578,86190,"city 50,000 thru 99,999",17
"illinois","IL",60605,1973,864,1619,24181,44805,44753,93654,37159,38949,175566,214515,3334500,"city 1,000,000+",17
"illinois","IL",60605,1974,970,1920,26172,45310,50722,114792,35442,42280,200956,243236,3296936,"city 1,000,000+",17
"illinois","IL",60605,1975,818,1657,22171,39260,47299,117909,33484,37160,198692,235852,3150000,"city 1,000,000+",17
"illinois","IL",60605,1976,814,1179,17577,34786,38661,112298,32469,30640,183428,214068,3134499,"city 1,000,000+",17
"illinois","IL",60605,1977,823,1227,16512,35363,37573,105406,31987,28873,174966,203839,3086806,"city 1,000,000+",17
"illinois","IL",60605,1978,787,1341,15233,38163,34165,99036,29928,27686,163129,190815,3086699,"city 1,000,000+",17
"illinois","IL",60605,1979,856,1655,14464,42857,33396,94087,31438,27807,160776,188583,3060801,"city 1,000,000+",17
"illinois","IL",60605,1980,863,1329,16261,43967,34288,102873,30786,28658,169863,198521,2986419,"city 1,000,000+",17
"illinois","IL",60605,1981,877,1255,16118,44807,30112,88197,32288,25609,152776,178385,3012703,"city 1,000,000+",17
"illinois","IL",60605,1982,668,1112,16307,55997,32249,92388,30850,26404,157138,183542,3010862,"city 1,000,000+",17
"illinois","IL",60605,1983,729,2246,23471,68726,48955,113821,39051,39776,203778,243554,3021203,"city 1,000,000+",17
"illinois","IL",60605,1985,666,1792,26892,29096,52658,121264,44892,58446,220840,279286,2998841,"city 1,000,000+",17
"illinois","IL",60605,1986,744,0,30918,102767,56274,121751,48511,65191,229161,294352,3003105,"city 1,000,000+",17
"illinois","IL",60605,1987,687,0,29815,46044,50931,119072,39715,64674,212522,277196,3018338,"city 1,000,000+",17
"illinois","IL",60605,1988,660,0,28975,35988,52060,128584,45012,65623,228547,294170,2994100,"city 1,000,000+",17
"illinois","IL",60605,1989,742,0,31588,37615,51580,130153,45898,69945,230189,300134,2988260,"city 1,000,000+",17
"illinois","IL",60605,1990,851,0,37156,126860,50203,130000,48626,79121,231485,310606,2783726,"city 1,000,000+",17
"illinois","IL",60605,1991,925,0,43783,42237,52234,131688,47396,86945,233387,320332,2811478,"city 1,000,000+",17
"illinois","IL",61101,1982,11,45,441,3153,3549,7333,350,1219,11298,12517,140350,"city 100,000 thru 249,999",17
"illinois","IL",61101,1983,8,51,353,2947,3654,6548,303,1033,10546,11579,140815,"city 100,000 thru 249,999",17
"illinois","IL",61101,1984,10,62,388,3056,3822,6661,330,1052,10852,11904,139043,"city 100,000 thru 249,999",17
"illinois","IL",61101,1985,6,102,380,3286,3949,7220,370,1161,11573,12734,136822,"city 100,000 thru 249,999",17
