state,year,party
illinois,1973,Democrat
illinois,1974,Democrat
illinois,1975,Democrat
illinois,1976,Democrat
illinois,1977,Republican
illinois,1978,Republican
illinois,1979,Republican
illinois,1980,Republican
illinois,1981,Republican
illinois,1982,Republican
illinois,1983,Republican
illinois,1984,Republican
illinois,1985,Republican
illinois,1986,Republican
illinois,1987,Republican
illinois,1988,Republican
illinois,1989,Republican
illinois,1990,Republican
illinois,1991,Republican
michigan,1973,Republican
michigan,1974,Republican
michigan,1975,Republican
michigan,1976,Republican
michigan,1977,Republican
michigan,1978,Republican
michigan,1979,Republican
michigan,1980,Republican
michigan,1981,Republican
michigan,1982,Republican
michigan,1983,Democrat
michigan,1984,Democrat
michigan,1985,Democrat
michigan,1986,Democrat
michigan,1987,Democrat
michigan,1988,Democrat
michigan,1989,Democrat
michigan,1990,Democrat
michigan,1991,Republican
iowa,1973,Republican
iowa,1974,Republican
iowa,1975,Republican
iowa,1976,Republican
iowa,1977,Republican
iowa,1978,Republican
iowa,1979,Republican
iowa,1980,Republican
iowa,1981,Republican
iowa,1982,Republican
iowa,1983,Republican
iowa,1984,Republican
iowa,1985,Republican
iowa,1986,Republican
iowa,1987,Republican
iowa,1988,Republican
iowa,1989,Republican
iowa,1990,Republican
iowa,1991,Republican
