"state","parties","unique_parties","status"
"Alabama",2,"Republican/Democrat","A changé"
"Alaska",3,"Independent/Democrat/Republican","A changé"
"American Samoa",3,"Republican/Democrat/Federally-Appointed Civilian","A changé"
"Arizona",2,"Republican/Democrat","A changé"
"Arkansas",2,"Democrat/Republican","A changé"
"California",2,"Republican/Democrat","A changé"
"Colorado",2,"Democrat/Republican","A changé"
"Connecticut",3,"Independent/Democrat/Republican","A changé"
"Delaware",2,"Republican/Democrat","A changé"
"Florida",2,"Democrat/Republican","A changé"
"Georgia",1,"Democrat","Resté Démocrate"
"Guam",2,"Republican/Democrat","A changé"
"Hawaii",1,"Democrat","Resté Démocrate"
"Idaho",2,"Democrat/Republican","A changé"
"Illinois",2,"Republican/Democrat","A changé"
"Indiana",2,"Democrat/Republican","A changé"
"Iowa",1,"Republican","Resté Républicain"
"Kansas",2,"Democrat/Republican","A changé"
"Kentucky",2,"Democrat/Republican","A changé"
"Louisiana",2,"Democrat/Republican","A changé"
"Maine",3,"Republican/Democrat/Independent","A changé"
"Maryland",1,"Democrat","Resté Démocrate"
"Massachusetts",2,"Republican/Democrat","A changé"
"Michigan",2,"Republican/Democrat","A changé"
"Minnesota",2,"Republican/Democrat","A changé"
"Mississippi",2,"Republican/Democrat","A changé"
"Missouri",2,"Republican/Democrat","A changé"
"Montana",2,"Republican/Democrat","A changé"
"Nebraska",2,"Democrat/Republican","A changé"
"Nevada",2,"Democrat/Republican","A changé"
"New Hampshire",2,"Republican/Democrat","A changé"
"New Jersey",2,"Democrat/Republican","A changé"
"New Mexico",2,"Democrat/Republican","A changé"
"New York",2,"Democrat/Republican","A changé"
"North Carolina",2,"Republican/Democrat","A changé"
"North Dakota",2,"Republican/Democrat","A changé"
"Northern Mariana Islands",1,"Republican","Resté Républicain"
"Ohio",2,"Republican/Democrat","A changé"
"Oklahoma",2,"Democrat/Republican","A changé"
"Oregon",2,"Democrat/Republican","A changé"
"Pennsylvania",2,"Democrat/Republican","A changé"
"Puerto Rico",2,"Popular Democratic Party (Puerto Rico)/New Progressive Party (Puerto Rico)","A changé"
"Rhode Island",2,"Democrat/Republican","A changé"
"South Carolina",2,"Republican/Democrat","A changé"
"South Dakota",2,"Republican/Democrat","A changé"
"Tennessee",2,"Democrat/Republican","A changé"
"Texas",2,"Democrat/Republican","A changé"
"Utah",2,"Republican/Democrat","A changé"
"Vermont",2,"Democrat/Republican","A changé"
"Virgin Islands",3,"Democrat/Independent/Republican","A changé"
"Virginia",2,"Democrat/Republican","A changé"
"Washington",2,"Democrat/Republican","A changé"
"West Virginia",2,"Democrat/Republican","A changé"
"Wisconsin",2,"Republican/Democrat","A changé"
"Wyoming",2,"Democrat/Republican","A changé"
