"state","juvenile_age","year","population","size_bucket","actual_murder","actual_rape_total","actual_robbery_total","actual_assault_total","actual_burg_total","actual_theft_total","actual_mtr_veh_theft_total","actual_index_violent","actual_index_property","actual_index_total","n_places"
"alabama",16,1970,5534568,"City: Large (100–249k)",57,124,695,2015,9064,12392,2298,1677,23754,25431,3
"alabama",16,1971,5559876,"City: Large (100–249k)",91,152,773,1944,9032,11404,2217,1823,22653,24476,3
"alabama",16,1972,5592600,"City: Large (100–249k)",58,160,609,1775,7647,10339,1866,1580,19852,21432,3
"alabama",16,1973,5690076,"City: Large (100–249k)",71,149,592,1684,8002,10889,1733,1600,20624,22224,3
"alabama",16,1974,5730480,"City: Large (100–249k)",101,143,751,1961,8630,14646,1851,1834,25127,26961,3
"alabama",16,1975,5803104,"City: Large (100–249k)",98,160,1079,2331,10704,18678,1859,2366,31241,33607,3
"alabama",16,1976,5787564,"City: Large (100–249k)",96,192,1032,2529,11661,21967,2030,2422,35658,38080,3
"alabama",16,1977,5940300,"City: Large (100–249k)",107,265,1188,2999,10816,19860,2285,2902,32961,35863,3
"alabama",16,1978,6174144,"City: Large (100–249k)",97,260,1202,4552,12317,20069,2493,3089,34879,37968,3
"alabama",16,1979,6193416,"City: Large (100–249k)",106,233,1029,5226,11970,22304,2565,2873,36876,39749,3
"alabama",16,1980,6222744,"City: Large (100–249k)",119,271,1538,5066,14962,25277,2584,4261,43149,47410,3
"alabama",16,1981,6310632,"City: Large (100–249k)",88,223,1445,4653,14083,25278,2146,4081,41865,45946,3
"alabama",16,1982,6354132,"City: Large (100–249k)",84,239,1301,4935,11780,27201,1913,3687,41177,44864,3
"alabama",16,1983,6379896,"City: Large (100–249k)",78,175,1197,4458,10265,25462,1745,3327,37716,41043,3
"alabama",16,1984,6460668,"City: Large (100–249k)",72,234,1099,4571,10071,22602,1588,3315,34413,37728,3
"alabama",16,1985,6522924,"City: Large (100–249k)",59,267,1180,4981,10893,21799,1758,3407,34601,38008,3
"alabama",16,1986,6574812,"City: Large (100–249k)",87,213,1173,6501,12491,22967,1951,4707,37600,42307,3
"alabama",16,1987,6782640,"City: Large (100–249k)",70,211,1167,6251,13585,24767,2052,4062,40578,44640,3
"alabama",16,1988,6831408,"City: Large (100–249k)",73,262,1281,6665,13833,24740,1973,4550,40706,45256,3
"alabama",16,1989,6758472,"City: Large (100–249k)",85,300,1378,8274,11736,28742,2533,5094,43172,48266,3
"alabama",16,1990,6518076,"City: Large (100–249k)",93,331,1570,8911,9540,29327,2569,7754,41567,49321,3
"alabama",16,1991,6596148,"City: Large (100–249k)",85,315,1626,6517,10877,23885,3089,8543,37991,46534,3
"alabama",16,1992,6671916,"City: Large (100–249k)",87,365,2130,2719,11338,28932,4125,5301,44519,49820,3
"alabama",16,1970,4652496,"City: Medium (25–99k)",41,48,185,1489,3573,5336,883,1219,9792,11011,10
"alabama",16,1971,4699224,"City: Medium (25–99k)",48,65,235,1753,3590,5291,921,1230,9802,11032,10
"alabama",16,1972,4723380,"City: Medium (25–99k)",48,75,337,1852,3906,4975,904,1432,9785,11217,10
"alabama",16,1973,4765236,"City: Medium (25–99k)",67,108,545,2483,5638,6280,1141,2422,13059,15481,10
"alabama",16,1974,4832736,"City: Medium (25–99k)",73,110,603,2507,7022,8148,1266,2365,16436,18801,10
"alabama",16,1975,4883604,"City: Medium (25–99k)",79,105,680,2853,8023,9909,1399,2406,19331,21737,10
"alabama",16,1976,5329500,"City: Medium (25–99k)",82,128,645,3104,8303,12884,1349,2281,22536,24817,11
"alabama",16,1977,5428164,"City: Medium (25–99k)",81,163,633,3103,7893,13758,1623,2737,23274,26011,11
"alabama",16,1978,5528244,"City: Medium (25–99k)",81,171,696,3246,8330,14881,1789,2809,25000,27809,11
"alabama",16,1979,5171136,"City: Medium (25–99k)",60,175,618,3506,8214,14676,1657,2574,24612,27186,11
"alabama",16,1980,5150724,"City: Medium (25–99k)",81,218,796,4452,10962,19457,1761,3075,32384,35459,11
"alabama",16,1981,5223456,"City: Medium (25–99k)",63,170,883,4699,10104,20826,1650,3764,32761,36525,11
"alabama",16,1982,5259492,"City: Medium (25–99k)",59,171,844,5154,10006,21362,1462,3729,33041,36770,11
"alabama",16,1983,5280768,"City: Medium (25–99k)",45,187,627,5176,8059,18701,1263,3472,28200,31672,11
"alabama",16,1984,5292660,"City: Medium (25–99k)",65,184,676,6079,7726,18157,1259,3732,27282,31014,11
"alabama",16,1985,5333496,"City: Medium (25–99k)",67,191,671,7171,7023,17195,1313,4134,25717,29851,11
"alabama",16,1986,5293020,"City: Medium (25–99k)",64,222,743,8711,7796,18631,1522,5293,28177,33470,11
"alabama",16,1987,5275368,"City: Medium (25–99k)",53,216,744,8655,7968,19517,1603,5501,29256,34757,11
"alabama",16,1988,5342076,"City: Medium (25–99k)",63,243,942,8556,8511,20507,1770,4762,30886,35648,11
"alabama",16,1989,5312412,"City: Medium (25–99k)",68,238,1018,9624,8739,22799,1753,5048,33378,38426,11
"alabama",16,1990,4951572,"City: Medium (25–99k)",59,256,988,5198,8389,22738,2022,5744,33149,38893,10
"alabama",16,1991,5010840,"City: Medium (25–99k)",61,281,1118,4241,8938,23999,2389,5701,35391,41092,10
"alabama",16,1992,5068356,"City: Medium (25–99k)",59,267,1079,3835,7996,21006,2127,5240,31168,36408,10
"alabama",16,1970,7863084,"City: Small (<25k)",12,12,53,1238,1819,3912,478,642,6209,6851,93
"alabama",16,1971,7964172,"City: Small (<25k)",20,16,96,1360,2251,4606,576,881,7433,8314,93
"alabama",16,1972,8054892,"City: Small (<25k)",27,36,134,1664,2463,4268,604,1163,7335,8498,93
"alabama",16,1973,8186892,"City: Small (<25k)",29,31,185,1388,2509,3843,718,1177,7070,8247,92
"alabama",16,1974,8312808,"City: Small (<25k)",36,45,296,1513,3741,5377,1011,1224,10129,11353,92
"alabama",16,1975,8445600,"City: Small (<25k)",65,52,389,2061,5208,8840,1227,1521,15275,16796,91
"alabama",16,1976,8664012,"City: Small (<25k)",56,77,372,2950,5601,11673,1313,2031,18587,20618,90
"alabama",16,1977,8956740,"City: Small (<25k)",59,83,309,3431,6596,12709,1546,2309,20851,23160,90
"alabama",16,1978,9004908,"City: Small (<25k)",57,98,371,3508,7222,14496,1797,2534,23515,26049,90
"alabama",16,1979,8607660,"City: Small (<25k)",57,89,508,3853,7943,16565,1987,2791,26532,29323,90
"alabama",16,1980,8581572,"City: Small (<25k)",57,135,558,3946,8758,21205,1872,2840,32008,34848,90
"alabama",16,1981,8702712,"City: Small (<25k)",57,120,506,4740,7984,21312,1739,3128,31166,34294,90
"alabama",16,1982,8762748,"City: Small (<25k)",59,117,478,5309,7710,20909,1774,3241,30565,33806,88
"alabama",16,1983,8807856,"City: Small (<25k)",53,109,375,5358,6835,19418,1441,3077,27819,30896,88
"alabama",16,1984,8935476,"City: Small (<25k)",55,111,471,5798,5836,18073,1562,3283,25585,28868,88
"alabama",16,1985,9004464,"City: Small (<25k)",45,126,482,7070,6293,19004,1710,3582,27129,30711,88
"alabama",16,1986,9054324,"City: Small (<25k)",58,125,501,8074,6686,19418,1573,4310,27838,32148,88
"alabama",16,1987,9154464,"City: Small (<25k)",62,135,572,8633,7367,21742,1672,4897,30892,35789,88
"alabama",16,1988,9236688,"City: Small (<25k)",56,192,614,8758,7331,22023,1791,4686,31263,35949,89
"alabama",16,1989,9220896,"City: Small (<25k)",47,194,756,9765,7380,22467,1917,4917,31861,36778,89
"alabama",16,1990,9350568,"City: Small (<25k)",69,196,835,4890,7810,24419,1975,5620,34204,39824,90
"alabama",16,1991,9462048,"City: Small (<25k)",55,196,833,5345,7870,24654,2010,6429,34645,41074,90
"alabama",16,1992,9570168,"City: Small (<25k)",52,217,822,5407,6895,23344,1884,6498,32234,38732,90
"alabama",16,1970,3610920,"City: Very large (250–499k)",63,84,328,1814,4265,8515,2744,1982,15524,17506,1
"alabama",16,1971,3555600,"City: Very large (250–499k)",82,98,465,1733,4857,8608,2894,2115,16359,18474,1
"alabama",16,1972,3517032,"City: Very large (250–499k)",76,103,757,1572,5189,8637,2409,2246,16235,18481,1
"alabama",16,1973,3507900,"City: Very large (250–499k)",63,197,906,2627,5825,8083,3065,2958,16973,19931,1
"alabama",16,1974,3469584,"City: Very large (250–499k)",76,188,1193,3263,7161,9314,3269,3557,19744,23301,1
"alabama",16,1975,3464784,"City: Very large (250–499k)",89,177,1475,2899,6855,11884,3356,3284,22095,25379,1
"alabama",16,1976,3384000,"City: Very large (250–499k)",76,168,851,2634,6028,14320,3013,2713,23361,26074,1
"alabama",16,1977,3608160,"City: Very large (250–499k)",87,167,989,2302,6101,13053,2956,2865,22110,24975,1
"alabama",16,1978,3723564,"City: Very large (250–499k)",74,191,966,2286,6859,13662,3169,2969,23690,26659,1
"alabama",16,1979,3460056,"City: Very large (250–499k)",93,285,1474,2345,8267,16881,3386,3328,28570,31898,1
"alabama",16,1980,3384972,"City: Very large (250–499k)",88,275,1700,2576,10062,18474,3380,3490,32054,35544,1
"alabama",16,1981,3432780,"City: Very large (250–499k)",97,267,1502,2948,10128,17771,3058,3292,31134,34426,1
"alabama",16,1982,3456444,"City: Very large (250–499k)",91,230,1291,2671,8275,16076,3440,2884,27927,30811,1
"alabama",16,1983,3472284,"City: Very large (250–499k)",70,253,1253,2864,7127,13779,2905,3006,23997,27003,1
"alabama",16,1984,3437016,"City: Very large (250–499k)",60,234,1162,2886,6474,13998,3094,2907,23813,26720,1
"alabama",16,1985,3383676,"City: Very large (250–499k)",97,283,1435,2991,7173,14042,3511,3350,24984,28334,1
"alabama",16,1986,3441072,"City: Very large (250–499k)",88,325,1583,3375,7784,13405,3508,3769,24942,28711,1
"alabama",16,1987,3386052,"City: Very large (250–499k)",84,311,1591,3014,7250,13726,3288,3532,24509,28041,1
"alabama",16,1988,3398844,"City: Very large (250–499k)",92,246,1292,3553,6783,13235,2960,3419,23199,26618,1
"alabama",16,1989,3336132,"City: Very large (250–499k)",100,258,1766,3666,6529,12100,3699,4020,22571,26591,1
"alabama",16,1990,3191616,"City: Very large (250–499k)",125,267,1799,3824,6958,13728,5073,4193,26006,30199,1
"alabama",16,1991,3231756,"City: Very large (250–499k)",139,279,1861,4629,7894,14869,4224,6908,27229,34137,1
"alabama",16,1992,3268884,"City: Very large (250–499k)",133,362,1854,3795,7447,15231,3731,6144,26728,32872,1
"alabama",16,1970,2478156,"MSA County: Large (100k+)",12,35,74,111,1006,532,167,222,1705,1927,1
"alabama",16,1971,2533200,"MSA County: Large (100k+)",9,29,55,63,1020,663,115,155,1798,1953,1
"alabama",16,1972,2516172,"MSA County: Large (100k+)",22,29,98,87,1214,643,147,236,2004,2240,1
"alabama",16,1973,2580864,"MSA County: Large (100k+)",20,36,92,71,1669,736,309,216,2714,2930,1
"alabama",16,1974,2430360,"MSA County: Large (100k+)",31,48,126,83,2105,932,513,284,3550,3834,1
"alabama",16,1975,2298084,"MSA County: Large (100k+)",20,46,192,266,2216,1213,577,452,4006,4458,1
"alabama",16,1976,2217072,"MSA County: Large (100k+)",23,51,107,1167,1901,2087,492,935,4480,5415,1
"alabama",16,1977,1652376,"MSA County: Large (100k+)",21,48,118,1192,1582,1890,497,978,3969,4947,1
"alabama",16,1978,1544568,"MSA County: Large (100k+)",19,50,99,1149,1839,1920,478,796,4237,5033,1
"alabama",16,1979,1979448,"MSA County: Large (100k+)",14,49,115,1012,1849,2185,530,701,4564,5265,1
