"state","year","pop_sum","murder","rape","robbery","assault","burglary","larceny","mv_theft","violent","property","total","violent_rate_100k","property_rate_100k","total_rate_100k"
"illinois",1973,135540264,1166,2695,30817,81700,114309,248210,57180,62721,419699,482420,46.2748102659738,309.648946825129,355.923757091103
"illinois",1974,134324112,1322,3077,34815,90512,139227,304286,58818,69583,502331,571914,51.8023152834988,373.969343642488,425.771658925986
"illinois",1975,134352564,1161,2810,30526,88323,138563,327397,55580,60357,521540,581897,44.9243380275199,388.187604666778,433.111942694298
"illinois",1976,135298188,1161,2405,24619,86550,121804,334099,56522,52489,512425,564914,38.7950502337844,378.737518642896,417.53256887668
"illinois",1977,135438780,1106,2423,23658,87713,119978,312634,58835,50364,491447,541811,37.1858045384047,362.855453954916,400.041258493321
"illinois",1978,135377868,1068,2538,22343,96951,120405,306384,54980,52011,481769,533780,38.4191306661736,355.869838340193,394.288969006367
"illinois",1979,135176652,1201,3280,22097,111137,131540,327436,60706,53452,521537,574989,39.542331615078,385.81884688193,425.361178497008
"illinois",1980,136709772,1199,3027,24531,117115,139320,339915,56246,55654,540371,596025,40.7095990182765,395.268744943851,435.978343962127
"illinois",1981,137939232,1199,2718,23844,115525,130844,320471,55596,50289,511964,562253,36.4573582662835,371.151841703744,407.609199970027
"illinois",1982,138642576,999,2393,23348,131083,123659,314807,54192,51326,496662,547988,37.0203738857247,358.231947450255,395.25232133598
"illinois",1983,139065480,1108,3590,30199,145562,137467,329321,61474,63117,532433,595550,45.3865330202722,382.864964044276,428.251497064548
"illinois",1984,139349760,291,1314,6330,83039,78221,203274,23411,23097,307059,330156,16.5748401719529,220.351294469398,236.926134641351
"illinois",1985,140010444,925,3777,33072,114712,129977,328420,67948,81397,530419,611816,58.1363773119668,378.842452638747,436.978829950714
"illinois",1986,139912284,1017,9,37536,198921,135601,337304,72472,88508,550024,638532,63.2596348723748,393.120592613584,456.380227485958
"illinois",1987,140241180,965,13,36325,142055,128987,339618,62310,87475,535684,623159,62.3746890891819,381.973397542719,444.348086631901
"illinois",1988,140010372,978,28,36057,140105,129741,353795,69699,89041,558210,647251,63.5960027304263,398.691891197889,462.287893928316
"illinois",1989,141375108,1051,15,39044,147363,124273,358251,70580,94011,557575,651586,66.497561932897,394.394040003138,460.891601936035
"illinois",1990,138599268,1182,0,45008,252337,121105,371490,73409,105899,570689,676588,76.4066084389421,411.754699887737,488.161308326679
"illinois",1991,139796640,1297,0,52591,172206,128357,379872,75397,115010,587738,702748,82.2695023285252,420.423552382947,502.693054711472
"iowa",1973,35003508,58,305,924,4248,16827,51715,5274,2811,73816,76627,8.0306236734901,210.881720769244,218.912344442734
"iowa",1974,34414116,50,268,1351,4473,20485,60928,5874,3290,87287,90577,9.56003054095593,253.637199339945,263.197229880901
"iowa",1975,34468572,67,298,1535,5670,23295,77689,6548,4037,107532,111569,11.7121185060988,311.971148674218,323.683267180317
"iowa",1976,34519332,66,303,1179,6068,23560,82429,5909,3802,111898,115700,11.0141181179288,324.160386417675,335.174504535603
"iowa",1977,34627332,67,300,1178,6339,23033,75873,6226,4080,105132,109212,11.7825999415722,303.609876729746,315.392476671318
"iowa",1978,34831332,74,300,1356,8166,25105,78141,6777,4652,110023,114675,13.3557912743618,315.87365076937,329.229442043732
"iowa",1979,34940436,65,320,1457,9922,26768,85023,7828,5259,120432,125691,15.0513290675594,344.678011459273,359.729340526833
"iowa",1980,35000280,63,410,1574,11472,30743,91641,7051,5729,130804,136533,16.3684404810476,373.722724503918,390.091164984966
"iowa",1981,34870248,73,388,1541,11477,30438,91942,6381,5840,130009,135849,16.7478017363111,372.836465057547,389.584266793858
"iowa",1982,35011968,66,348,1069,10444,25936,78010,4716,4773,109527,114300,13.6324813275278,312.827316647839,326.459797975367
"iowa",1983,35011968,68,365,1192,12192,26599,77402,4586,5262,109407,114669,15.0291466049552,312.484576702458,327.513723307413
"iowa",1984,35070996,59,375,1114,13368,25357,74818,4610,5781,105599,111380,16.4837063652256,301.100658789388,317.584365154614
"iowa",1985,34757640,55,363,1187,14307,26349,76835,4423,6106,108510,114616,17.5673607299,312.190355846945,329.757716576845
"iowa",1986,34359072,51,356,1197,16624,27255,79864,4514,6703,112524,119227,19.5086759037031,327.494293210247,347.00296911395
"iowa",1987,34152216,59,325,1022,17665,25884,79651,4244,6509,110588,117097,19.0587925539005,323.80914901686,342.867941570761
"iowa",1988,34151496,47,446,1132,19721,24211,79447,4596,7279,109164,116443,21.3138540109634,319.646319446738,340.960173457702
"iowa",1989,34222380,54,459,1107,22028,23969,79649,4486,7550,108882,116432,22.0615865991787,318.160221469109,340.221808068287
"iowa",1990,33471540,55,506,1084,24197,22168,77304,4655,8220,104972,113192,24.5581768869912,313.615686640053,338.173863527044
"iowa",1991,33691428,0,0,0,0,0,0,0,0,0,0,0,0,0
"michigan",1973,109579944,1091,3165,25517,62862,142162,247626,49192,52772,438980,491752,48.1584476809004,400.602504414494,448.760952095394
"michigan",1974,110711676,1180,3357,30549,65464,171913,300186,56590,59592,528689,588281,53.8263010307964,477.536804699804,531.363105730601
"michigan",1975,111479112,1095,3487,32314,70437,173060,326475,59457,62605,558992,621597,56.1585025901534,501.432053028912,557.590555619065
"michigan",1976,110691744,1012,3279,30238,67959,151115,320869,55670,58692,527654,586101,53.0229246365474,476.687764536441,529.489353785952
"michigan",1977,111192984,867,3530,23824,70411,137753,284985,49480,52962,472218,525180,47.6307030306876,424.683269584707,472.313972615395
"michigan",1978,112203504,969,3621,20126,81250,132007,278034,48257,52856,458298,511154,47.10726324554,408.452484692457,455.559747937997
"michigan",1979,112207872,830,4068,20093,88520,137232,310317,54803,56023,506405,562428,49.9278695883298,451.309690642739,501.237560231068
"michigan",1980,112564296,937,4267,22363,90471,158972,337708,53565,58342,557277,615619,51.8299337118406,495.074388418864,546.904322130705
"michigan",1981,112443240,861,4349,23632,88023,170298,339429,58202,58800,573008,631808,52.2930502536213,509.597553396718,561.890603650339
