"state","year","actual_murder","actual_rape_total","actual_robbery_total","actual_assault_total","actual_burg_total","actual_theft_total","actual_mtr_veh_theft_total","actual_index_violent","actual_index_property","actual_index_total","population","n_groups","violent_rate_100k","property_rate_100k","total_rate_100k"
"iowa",1970,47,155,792,3352,12758,44719,4653,2118,62130,64248,34016244,8,6.22643699286729,182.648031334676,188.874468327544
"iowa",1971,49,238,823,4083,13239,47705,4072,2245,65016,67261,34150836,7,6.57377757897347,190.378941235875,196.952718814848
"iowa",1972,48,222,739,3653,13447,46718,4522,2296,64687,66983,34517304,7,6.65173618426283,187.40455511821,194.056291302473
"iowa",1973,58,304,919,4222,16750,51474,5260,2789,73484,76273,34747248,7,8.02653493594658,211.481496318788,219.508031254734
"iowa",1974,50,261,1343,4439,20392,60566,5850,3256,86808,90064,34164024,7,9.53049324634592,254.091848196805,263.622341443151
"iowa",1975,67,297,1530,5601,23143,77022,6496,4004,106661,110665,34185348,7,11.7126202722874,312.007939775836,323.720560048124
"iowa",1976,65,297,1162,5938,23292,81345,5845,3720,110482,114202,34028868,7,10.9318946489786,324.671393711951,335.603288360929
"iowa",1977,66,292,1161,6233,22597,74272,6123,3987,102992,106979,33986352,7,11.7311796217493,303.039290595237,314.770470216986
"iowa",1978,74,296,1337,7945,24490,76049,6650,4503,107189,111692,34159368,7,13.1823281976411,313.790934305342,326.973262502983
"iowa",1979,64,317,1439,9662,25945,81741,7621,5139,116076,121215,34236492,7,15.0102995365296,339.041745281614,354.052044818143
"iowa",1980,63,400,1551,11208,29966,88050,6876,5573,126210,131783,34181988,7,16.3039083624978,369.229548614902,385.5334569774
"iowa",1981,70,383,1526,11227,29490,88573,6242,5721,125509,131230,34054992,7,16.7992992040638,368.548023737607,385.34732294167
"iowa",1982,64,345,1055,10173,25084,75025,4596,4624,105542,110166,34194468,7,13.5226551850434,308.652265038895,322.174920223938
"iowa",1983,68,360,1175,11910,25699,74327,4487,5138,105311,110449,34161996,7,15.0401047994971,308.269458259992,323.309563059489
"iowa",1984,56,365,1099,13058,24663,71790,4491,5663,101731,107394,34197924,7,16.5594847219381,297.477121710663,314.036606432601
"iowa",1985,53,350,1175,14039,25421,73795,4318,5993,104410,110403,33892344,7,17.6824594958673,308.063673613132,325.746133108999
"iowa",1986,50,354,1186,16342,26249,76853,4401,6573,108385,114958,33442116,7,19.6548567680347,324.097314894787,343.752171662822
"iowa",1987,59,319,1014,17320,25030,76625,4129,6414,106577,112991,33215532,7,19.3102431717788,320.864949566366,340.175192738144
"iowa",1988,46,436,1119,19379,23521,76458,4500,7147,105374,112521,33209448,7,21.5209840284006,317.301269205077,338.822253233477
"iowa",1989,53,449,1103,21635,23306,76458,4393,7395,104918,112313,33249216,7,22.241125926097,315.550297486714,337.791423412811
"iowa",1990,53,496,1075,23704,21578,74112,4562,7988,101095,109083,32452032,7,24.614791455894,311.521324766351,336.136116222245
"iowa",1991,0,0,0,0,0,0,0,0,0,0,32665344,7,0,0,0
"iowa",1992,29,347,715,17217,11563,45140,2492,5015,59642,64657,32864124,7,15.2598012349272,181.480571336695,196.740372571622
"maryland",1970,330,861,13062,49431,38448,88931,20033,23942,147412,171354,48307572,7,49.5615883986055,305.152989266362,354.714577664967
"maryland",1971,413,902,12763,45823,41759,95267,19702,24160,156728,180888,49258188,7,49.0476831993901,318.176543562666,367.224226762056
"maryland",1972,454,948,12717,47924,40889,86940,19873,24587,147702,172289,49967136,7,49.2063423446963,295.598290844606,344.804633189303
"maryland",1973,410,1003,11952,48446,42144,92397,20590,24201,155131,179332,50137140,8,48.2696061243222,309.413341088064,357.682947212386
"maryland",1974,429,1086,14344,51084,51367,110075,21916,27309,183358,210667,50438352,8,54.1433233187317,363.528927352741,417.672250671473
"maryland",1975,390,1134,13640,52194,51206,121729,19499,26798,192434,219232,48865980,8,54.8397883353613,393.799530880175,448.639319215536
"maryland",1976,313,1163,11897,51587,49432,121162,16303,24144,186897,211032,45933456,8,52.5629946068069,406.886431536961,459.42983258216
"maryland",1977,292,1277,11683,51538,51036,118369,16324,26417,185729,212042,48487140,8,54.4824875214335,383.047958695852,437.315956354613
"maryland",1978,308,1325,12386,53032,52268,120102,16023,27817,188393,216210,48767508,8,57.0400275527714,386.308441267903,443.348468820675
"maryland",1979,364,1455,13323,51984,55424,129085,18524,30189,205312,235501,48854340,8,61.7938958954312,420.253349037158,482.047244932589
"maryland",1980,362,1518,16006,49913,63626,135434,17287,32780,219099,251879,49189560,8,66.6401569763991,445.417686191948,512.057843168347
"maryland",1981,377,1493,17632,50145,63390,135793,17064,34913,219040,253953,50001444,8,69.823983483357,438.067348614972,507.891332098329
"maryland",1982,398,1451,15096,54468,54767,128944,15592,33804,202355,236159,50084400,8,67.4940700098234,404.02800073476,471.522070744583
"maryland",1983,335,1280,14660,51758,47864,115083,14673,32335,180353,212688,50565876,9,63.9462866222272,356.669387078353,420.61567370058
"maryland",1984,333,1468,12834,55949,46676,111448,16097,31883,176327,208210,51133932,8,62.3519427373588,344.833641973788,407.185584711146
"maryland",1985,324,1502,12954,59779,48340,113837,19028,33739,183492,217231,51614628,8,65.3671280939969,355.503869949426,420.870998043423
"maryland",1986,367,1716,13274,62687,50466,119917,22946,33867,195666,229533,52281108,8,64.7786577132221,374.257561641578,439.0362193548
"maryland",1987,343,1356,11300,56906,41869,109611,19769,27934,173415,201349,53077404,8,52.6287984996403,326.720952667542,379.349751167182
"maryland",1988,419,1558,13683,64041,49562,128798,29828,34555,210471,245026,54918156,8,62.920903607907,383.244841651275,446.165745259182
"maryland",1989,509,1566,15253,65554,48084,124189,29734,37396,204011,241407,55496856,8,67.383997392573,367.608211895823,434.992209288396
"maryland",1990,518,1973,17109,72648,49193,134463,32375,41340,218194,259534,56593308,8,73.0475058994608,385.547351287541,458.594857187002
"maryland",1991,540,2053,19429,73718,51751,149546,34058,43927,237433,281360,57498960,8,76.3961643827993,412.934425248735,489.330589631534
"maryland",1992,573,2107,20658,74478,51219,151758,34331,46518,239166,285684,58084584,8,80.0866543177791,411.754692088352,491.841346406131
